ind|last  geneartion  date|gen date|sol ID |currency |opening balance|A/c number|name|sender bic | receiverbic|mode  of  delivery - EMAIL, SWIFT,RACE, CAMT, SFP|email1|email2|email3|email4|email5|SFTP serevr IP URL|STF path |address|cust_id
B/F|05-03-2022|07-03-2022|6139|INR|7074115,2|613905017646|VEDANTA LIMITED|ICICINBBAXXX|ICICINBBXCTS|modeofdelivery|treasury.info@vedanta.co.in||||| | | |521180621
Tran ID|Tran Date|Part Tran Num|Tran Type|Tran Sub Type|Part Tran Type|Init SOL|SOL|Amount|Tran Paerticular|Rmks|Rcre User|Pstd Date|instrmnt_num|module_id|fx_tran_amt|RATE_CODE|TRAN_CRNCY_CODE|REF_CRNCY_CODE|TRAN_PARTICULAR_2|TRAN_PARTICULAR_CODE|swift_rule|swift_flag|ref_rule|ref_flag|op_balance|line_op_balance|cl_balance|bic_code1|bic_code2|init_sol_desc|A/c Number|Value Date|acctOwnerrefNum|tag61line2|UAD_MODULE_KEY
S10671556|07-03-2022| 112|T|CI|C|0103|6139|290|TPSL-07/03/2022-PG L515856-KP||E490933|07-03-2022|||0||INR|INR|||99|MSC|||7074115,2|7074115,2|7074405,2|I940ICICINBBXCTSN|ICICINBBAXXX|RPC MUMBAI|613905017646|07-03-2022|OTHERS|TPSL-07/03/2022-PG L515856-KP|
S22552979|07-03-2022|   1|T|CI|D|6139|6139|573,08|CMS/000945512726/CMS2435985665|000945512726//613905017646|CDCIUSER|07-03-2022||DCI|0||INR|INR||CMS|99|MSC|19-CMS|000945512726|7074115,2|7074405,2|7073832,12|I940ICICINBBXCTSN|ICICINBBAXXX|TUTICORIN 6139|613905017646|07-03-2022|000945512726//61|CMS/000945512726/CMS2435985665|CMS2435985665~0019954722~CITI0000002~~STERLITE INDUSTRIES INDIA LIMITED~Bharti Airtel Ltd~1022784
S22553099|07-03-2022|   1|T|CI|D|6139|6139|125280|CMS/000945512728/CMS2435985678|000945512728//613905017646|CDCIUSER|07-03-2022||DCI|0||INR|INR||CMS|99|MSC|19-CMS|000945512728|7074115,2|7073832,12|6948552,12|I940ICICINBBXCTSN|ICICINBBAXXX|TUTICORIN 6139|613905017646|07-03-2022|000945512728//61|CMS/000945512728/CMS2435985678|CMS2435985678~0520282009~CITI0000002~~STERLITE INDUSTRIES INDIA LIMITED~MITSUBISHI ELECTRIC INDIA PVT LTD~1022790
S22553153|07-03-2022|   1|T|CI|D|6139|6139|235700|RTGS/ICICR22022030700011194/HDFC0000003/BHARTI AI|000945512727//613905017646|CDCIUSER|07-03-2022||DCI|0||INR|INR|RTEL LTD|CMS|16|TRF|19-CMS|ICICR22022030700011194|7074115,2|6948552,12|6712852,12|I940ICICINBBXCTSN|ICICINBBAXXX|TUTICORIN 6139|613905017646|07-03-2022|000945512727//61|RTGS/ICICR22022030700011194/HDFC0|ICICR22022030700011194~00030310003791~HDFC0000003~~STERLITE INDUSTRIES INDIA LIMITED~BHARTI AIRTEL LTD~1022783
S22553286|07-03-2022|   1|T|CI|D|6139|6139|585000|RTGS/ICICR22022030700011196/IDIB000M008/Dharmesh|000945512730//613905017646|CDCIUSER|07-03-2022||DCI|0||INR|INR|Interiors|CMS|16|TRF|19-CMS|ICICR22022030700011196|7074115,2|6712852,12|6127852,12|I940ICICINBBXCTSN|ICICINBBAXXX|TUTICORIN 6139|613905017646|07-03-2022|000945512730//61|RTGS/ICICR22022030700011196/IDIB0|ICICR22022030700011196~6821379116~IDIB000M008~~STERLITE INDUSTRIES INDIA LIMITED~Dharmesh Interiors~1022794
S22553358|07-03-2022|   1|T|CI|D|6139|6139|6593|CMS/000945512734/CMS2435985769|000945512734//613905017646|CDCIUSER|07-03-2022||DCI|0||INR|INR||CMS|99|MSC|19-CMS|000945512734|7074115,2|6127852,12|6121259,12|I940ICICINBBXCTSN|ICICINBBAXXX|TUTICORIN 6139|613905017646|07-03-2022|000945512734//61|CMS/000945512734/CMS2435985769|CMS2435985769~ZEMTNL03HKPL1040~INDB0000332~~STERLITE INDUSTRIES INDIA LIMITED~MAHANAGAR TELEPHONE NIGAM LIMITED,~1022766
S22555021|07-03-2022|   1|T|CI|D|6139|6139|159526,36|CMS/000945512731/CMS2435985764|000945512731//613905017646|CDCIUSER|07-03-2022||DCI|0||INR|INR||CMS|99|MSC|19-CMS|000945512731|7074115,2|6121259,12|5961732,76|I940ICICINBBXCTSN|ICICINBBAXXX|TUTICORIN 6139|613905017646|07-03-2022|000945512731//61|CMS/000945512731/CMS2435985764|CMS2435985764~72728011~BOFA0MM6205~~STERLITE INDUSTRIES INDIA LIMITED~JOHNSON CONTROLS INDIA PVT. LTD~1022765
S22553137|07-03-2022|   1|T|CI|D|6139|6139|508231|RTGS/ICICR22022030700011195/HDFC0004989/ADANI ELE|000945512729//613905017646|CDCIUSER|07-03-2022||DCI|0||INR|INR|CTRICITY MUMBAI LTD|CMS|16|TRF|19-CMS|ICICR22022030700011195|7074115,2|5961732,76|5453501,76|I940ICICINBBXCTSN|ICICINBBAXXX|TUTICORIN 6139|613905017646|07-03-2022|000945512729//61|RTGS/ICICR22022030700011195/HDFC0|ICICR22022030700011195~EPAEML152214644~HDFC0004989~~STERLITE INDUSTRIES INDIA LIMITED~ADANI ELECTRICITY MUMBAI LTD~1022789
S22553626|07-03-2022|   1|T|CI|D|6139|6139|5292000|RTGS/ICICR22022030700011198/SBIN0012521/Hosmac In|000945512733//613905017646|CDCIUSER|07-03-2022||DCI|0||INR|INR|dia Private Limited|CMS|16|TRF|19-CMS|ICICR22022030700011198|7074115,2|5453501,76|161501,76|I940ICICINBBXCTSN|ICICINBBAXXX|TUTICORIN 6139|613905017646|07-03-2022|000945512733//61|RTGS/ICICR22022030700011198/SBIN0|ICICR22022030700011198~30109055068~SBIN0012521~~STERLITE INDUSTRIES INDIA LIMITED~Hosmac India Private Limited~1022772
S22553693|07-03-2022|   1|T|CI|D|6139|6139|2625500|RTGS/ICICR22022030700011199/UTIB0000028/DOORS   D|000945512735//613905017646|CDCIUSER|07-03-2022||DCI|0||INR|INR|OORS SYSTEM  I  PVT L|CMS|16|TRF|19-CMS|ICICR22022030700011199|7074115,2|161501,76|-2463998,24|I940ICICINBBXCTSN|ICICINBBAXXX|TUTICORIN 6139|613905017646|07-03-2022|000945512735//61|RTGS/ICICR22022030700011199/UTIB0|ICICR22022030700011199~918020082204730~UTIB0000028~~STERLITE INDUSTRIES INDIA LIMITED~DOORS & DOORS SYSTEM (I) PVT.LTD.~1022773
